iter	MAE	RMSE
803	30209901.9	51685980.5
804	30215015.58	51692349.15
805	30219085.14	51696997.25
806	30205008.81	51675672.73
807	30201194.43	51663132.39
808	30196471.59	51655497.21
809	30198855.78	51651432.55
810	30204380.74	51666991.11
811	30191324.48	51656560.78
812	30176352.19	51639871.72
813	30158471.97	51615915.06
814	30146606.6	51620441.14
815	30137109.01	51600710.19
816	30126678.95	51564472.3
817	30119527.45	51548007.77
818	30106804.39	51528152.21
819	30102161.42	51530340.65
820	30098773.95	51525765.57
821	30091163.05	51528058.76
822	30096883.74	51544232.59
823	30089898.31	51544073.72
824	30072079.47	51507460.35
825	30068206.88	51492630.32
826	30078292.73	51509265.73
827	30073386.48	51499618.92
828	30075235.44	51505155.28
829	30077151.95	51514420.39
830	30074925.53	51516576.03
831	30079949.86	51513134.87
832	30071705.14	51503660.85
833	30049549.57	51477695.46
834	30054033.12	51474575.32
835	30056424.14	51478076.78
836	30053861.18	51438822.19
837	30044345.57	51434071.89
838	30032434.91	51410060.82
839	30028558.29	51402184.11
840	30012513.51	51366927.78
841	29986279.6	51337429.24
842	29983167.46	51336376.4
843	29988239.57	51330856.73
844	29975599.02	51317596.98
845	29956499.38	51289341.08
846	29956565.06	51281258.85
847	29947113.44	51270117.88
848	29944863.9	51265033.19
849	29947279.64	51268082.13
850	29945413.56	51271553.18
851	29931405.61	51261775.24
852	29924265.34	51260095.6
853	29924275.54	51240180.62
854	29921169.21	51244365.98
855	29922126.76	51242130.11
856	29908848.06	51219313.17
857	29897108.98	51219686.8
858	29896982.21	51229643.74
859	29895091.77	51229926.43
860	29891992.89	51224460.14
861	29880185.44	51213605.26
862	29875544.83	51192448.03
863	29880388.79	51199899.28
864	29863842.93	51180711.29
865	29859707.08	51186942.98
866	29867614.37	51176848.1
867	29861960.72	51177891.64
868	29853418.2	51160534.35
869	29862390.61	51174204.54
870	29847207.78	51163848.22
871	29825096.23	51132561.53
872	29824524.93	51131152.65
873	29830116.37	51140548.34
874	29835367.37	51132909.5
